epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0479,1.58088,2.57913,1.697,0.25714,0.27025,0.16513,0.06949,2.58046,3.57863,2.98033,0.0006618,0.0006618,0.0006618
2,127.922,1.85917,2.02058,1.90755,0.04614,0.2158,0.01779,0.00631,3.06454,11.4529,4.02165,0.00131532,0.00131532,0.00131532
3,177.659,1.87724,2.03484,1.9028,0.36732,0.3579,0.19824,0.09289,2.46373,3.56861,2.60722,0.00195563,0.00195563,0.00195563
4,227.699,1.83876,1.98819,1.86645,0.32685,0.33068,0.18246,0.07928,2.38379,3.02344,2.60741,0.0019406,0.0019406,0.0019406
5,276.276,1.7351,1.89364,1.81554,0.42944,0.2324,0.22346,0.1183,2.5882,3.22572,2.90302,0.0019208,0.0019208,0.0019208
6,323.187,1.67402,1.77901,1.75741,0.48809,0.40438,0.28186,0.14802,2.18595,2.42176,2.34104,0.001901,0.001901,0.001901
7,374.218,1.64064,1.68513,1.71373,0.49107,0.45485,0.32137,0.18434,2.06629,2.23879,2.20568,0.0018812,0.0018812,0.0018812
8,421.357,1.61993,1.70238,1.70846,0.53688,0.50465,0.38488,0.24188,1.95438,1.98003,2.14112,0.0018614,0.0018614,0.0018614
9,467.729,1.51168,1.56937,1.64087,0.4788,0.46813,0.33081,0.19247,2.02398,2.19324,2.16208,0.0018416,0.0018416,0.0018416
10,513.332,1.57835,1.68328,1.66229,0.51501,0.48936,0.32425,0.18914,1.96101,2.18711,2.14809,0.0018218,0.0018218,0.0018218
11,561.895,1.51091,1.56551,1.62462,0.51289,0.47942,0.33884,0.2032,1.95181,2.19509,2.09676,0.001802,0.001802,0.001802
12,610.663,1.50737,1.56939,1.62339,0.51908,0.4927,0.35829,0.2266,1.89046,2.14594,2.10829,0.0017822,0.0017822,0.0017822
13,663.383,1.47864,1.53575,1.60824,0.5373,0.50042,0.39918,0.24939,2.02533,2.01693,2.1883,0.0017624,0.0017624,0.0017624
14,711.269,1.4721,1.52741,1.59856,0.51128,0.43161,0.31294,0.18731,2.06096,2.48722,2.24875,0.0017426,0.0017426,0.0017426
15,757.585,1.42936,1.4941,1.56811,0.55988,0.50465,0.39223,0.24822,1.89026,2.09596,2.0147,0.0017228,0.0017228,0.0017228
16,802.982,1.44691,1.50518,1.57543,0.53353,0.51594,0.3784,0.24461,1.8917,2.04523,2.04136,0.001703,0.001703,0.001703
17,856.27,1.41421,1.42783,1.54767,0.51719,0.45153,0.35659,0.22727,1.92645,2.03786,2.09146,0.0016832,0.0016832,0.0016832
18,905.724,1.40936,1.45184,1.54595,0.57278,0.50567,0.38473,0.25553,1.82421,2.08026,1.99594,0.0016634,0.0016634,0.0016634
19,952.949,1.42019,1.43511,1.54726,0.54432,0.53918,0.40327,0.26631,1.82633,2.10393,1.99508,0.0016436,0.0016436,0.0016436
20,999.302,1.36992,1.42046,1.52748,0.52245,0.4947,0.34355,0.2133,1.86239,2.09019,2.05378,0.0016238,0.0016238,0.0016238
21,1052.07,1.42278,1.47678,1.55192,0.54256,0.49145,0.38332,0.24736,1.87753,1.99948,2.06503,0.001604,0.001604,0.001604
22,1098.52,1.38805,1.43736,1.53355,0.54651,0.51926,0.39733,0.25959,1.80448,1.96119,2.02637,0.0015842,0.0015842,0.0015842
23,1144.35,1.36588,1.46307,1.49469,0.60741,0.51859,0.41978,0.26763,1.88163,1.94249,2.05712,0.0015644,0.0015644,0.0015644
24,1196.63,1.36073,1.39944,1.51844,0.54439,0.51594,0.40421,0.26308,1.81086,1.90773,2.02815,0.0015446,0.0015446,0.0015446
25,1250.34,1.35058,1.39849,1.51443,0.55215,0.5259,0.38966,0.25641,1.80124,1.97886,1.98781,0.0015248,0.0015248,0.0015248
26,1302.28,1.3334,1.36846,1.49941,0.56772,0.54154,0.41791,0.27828,1.75321,1.82337,1.99683,0.001505,0.001505,0.001505
27,1353.63,1.35238,1.38632,1.51438,0.5818,0.52258,0.41703,0.27765,1.75682,1.92018,1.97788,0.0014852,0.0014852,0.0014852
28,1410.67,1.34249,1.35,1.49644,0.58176,0.51354,0.42789,0.28217,1.88873,1.94081,2.0869,0.0014654,0.0014654,0.0014654
29,1466.42,1.31194,1.35485,1.47325,0.57593,0.51262,0.41811,0.2743,1.85686,1.87423,2.02544,0.0014456,0.0014456,0.0014456
30,1519.1,1.30589,1.33443,1.47788,0.5661,0.56308,0.40488,0.26765,1.75557,1.90546,1.94787,0.0014258,0.0014258,0.0014258
31,1573.6,1.32925,1.36571,1.49926,0.57152,0.53939,0.43343,0.28512,1.788,1.83432,1.95951,0.001406,0.001406,0.001406
32,1628.29,1.31895,1.30957,1.4882,0.56209,0.52988,0.38346,0.24924,1.77585,1.91153,1.96628,0.0013862,0.0013862,0.0013862
33,1675.26,1.32896,1.36105,1.4942,0.57886,0.55583,0.41664,0.26739,1.78153,1.84977,1.95314,0.0013664,0.0013664,0.0013664
34,1725.18,1.27516,1.2907,1.4773,0.67343,0.47652,0.47529,0.31816,1.80555,1.84999,1.98547,0.0013466,0.0013466,0.0013466
35,1774.05,1.31226,1.37807,1.49505,0.5925,0.52855,0.41057,0.27227,1.73369,1.88436,1.93007,0.0013268,0.0013268,0.0013268
36,1820.08,1.29446,1.32449,1.4778,0.57361,0.51195,0.42718,0.28197,1.82702,1.92831,2.02359,0.001307,0.001307,0.001307
37,1869.28,1.23582,1.23513,1.43307,0.57047,0.5571,0.4103,0.26643,1.76656,1.84913,1.98432,0.0012872,0.0012872,0.0012872
38,1918.57,1.24515,1.3097,1.43051,0.58939,0.52523,0.39385,0.25838,1.77326,1.90459,1.95434,0.0012674,0.0012674,0.0012674
39,1966.94,1.24395,1.26891,1.43262,0.57143,0.54362,0.39603,0.26122,1.76469,1.9032,1.97481,0.0012476,0.0012476,0.0012476
40,2018.83,1.24905,1.27443,1.43839,0.57768,0.53785,0.4105,0.27,1.82346,1.91444,2.0274,0.0012278,0.0012278,0.0012278
41,2066.14,1.24751,1.27647,1.43219,0.57623,0.5571,0.3863,0.25451,1.72416,1.8476,1.94411,0.001208,0.001208,0.001208
42,2114.01,1.22504,1.32929,1.40862,0.56512,0.56605,0.40151,0.25834,1.77841,1.89262,1.97645,0.0011882,0.0011882,0.0011882
43,2165.83,1.21792,1.21671,1.41905,0.56368,0.56175,0.40352,0.27328,1.70504,1.89341,1.92032,0.0011684,0.0011684,0.0011684
44,2212.83,1.22812,1.23627,1.4207,0.58218,0.54183,0.43401,0.28979,1.745,1.91445,1.95332,0.0011486,0.0011486,0.0011486
